time,open,high,low,close,volume
1609434000000,0.17855,0.1817,0.17839,0.18112,7466830.7
1609435800000,0.18111,0.1826,0.18083,0.18086,11802168.1
1609437600000,0.18094,0.1815,0.18031,0.18047,4944849.5
1609439400000,0.18044,0.18075,0.17984,0.18039,4080866.7
1609441200000,0.18038,0.18116,0.18008,0.18094,4821001.6
1609443000000,0.18094,0.18164,0.18029,0.18152,3314427.6
1609444800000,0.18153,0.1824,0.18035,0.18061,8408554.4
1609446600000,0.18057,0.18105,0.18022,0.18071,4207328.5
1609448400000,0.18073,0.18116,0.18051,0.18076,3810183.4
1609450200000,0.18086,0.18106,0.18029,0.18072,2011009.0
1609452000000,0.18072,0.18099,0.18035,0.18049,1754902.8
1609453800000,0.18049,0.18049,0.17933,0.17975,4854169.1
1609455600000,0.17976,0.18151,0.17848,0.1815,7472475.1
1609457400000,0.1815,0.18255,0.18077,0.18134,9702177.1
1609459200000,0.18134,0.18146,0.17831,0.1788,13835889.9
1609461000000,0.17879,0.18077,0.17878,0.18051,5359029.2
1609462800000,0.18055,0.18276,0.18,0.18192,12354800.3
1609464600000,0.18189,0.18469,0.1818,0.18358,16246848.1
1609466400000,0.18361,0.18448,0.18342,0.18352,6617817.8
1609468200000,0.18355,0.18473,0.18229,0.18368,13457753.3
1609470000000,0.18375,0.18458,0.18359,0.18424,9104791.6
1609471800000,0.18424,0.18436,0.18259,0.18292,6599705.5
1609473600000,0.18299,0.18367,0.1825,0.18305,5996095.1
1609475400000,0.18304,0.18336,0.18105,0.1818,10342221.1
1609477200000,0.18182,0.1831,0.18171,0.18286,5008085.7
1609479000000,0.18297,0.18339,0.18274,0.18297,4265570.9
1609480800000,0.18299,0.18319,0.18033,0.18039,5939048.9
1609482600000,0.18036,0.18108,0.17921,0.181,9658840.9
1609484400000,0.18103,0.18109,0.178,0.17839,15414681.7
1609486200000,0.17838,0.1798,0.17821,0.17955,6100959.9
1609488000000,0.17955,0.18007,0.17685,0.17717,14138123.3
1609489800000,0.17718,0.17917,0.17673,0.17762,9237982.3
1609491600000,0.17766,0.17939,0.17718,0.17902,6040085.5
1609493400000,0.17898,0.17962,0.17835,0.17904,4172284.3
1609495200000,0.179,0.17998,0.17831,0.17984,5382097.8
1609497000000,0.17984,0.18042,0.17948,0.18021,5456746.0
1609498800000,0.18019,0.18069,0.17986,0.1803,4963190.6
1609500600000,0.1803,0.18078,0.17914,0.1795,6574387.9
1609502400000,0.17943,0.18214,0.17888,0.18198,13642237.1
1609504200000,0.18198,0.18227,0.17985,0.1801,12979439.4
1609506000000,0.18015,0.18147,0.18001,0.18135,6511926.2
1609507800000,0.18141,0.18156,0.18052,0.1811,4038977.7
1609509600000,0.18108,0.18175,0.18037,0.18139,6933410.6
1609511400000,0.18136,0.18359,0.181,0.18285,19111961.3
1609513200000,0.18283,0.18343,0.18174,0.1819,10299727.4
1609515000000,0.1819,0.18206,0.17887,0.18055,14417092.5
1609516800000,0.18057,0.18128,0.18002,0.18046,6041698.4
1609518600000,0.18046,0.18046,0.17917,0.18001,7601100.8
1609520400000,0.18,0.18013,0.17831,0.17906,6307397.8
1609522200000,0.17909,0.17912,0.17647,0.17796,15250646.8
1609524000000,0.1779,0.17895,0.17703,0.17741,10640871.4
1609525800000,0.17735,0.17821,0.17104,0.17465,39457245.9
1609527600000,0.17465,0.17473,0.17,0.17418,30949660.8
1609529400000,0.17415,0.17587,0.17327,0.17432,12635665.0
1609531200000,0.17432,0.17588,0.17322,0.1752,8766792.3
1609533000000,0.17523,0.17529,0.17397,0.17503,4929720.7
1609534800000,0.17505,0.17552,0.17427,0.17539,6772386.0
1609536600000,0.17539,0.17567,0.17505,0.17521,4390048.7
1609538400000,0.17522,0.17637,0.17432,0.176,6572395.1
1609540200000,0.17606,0.17612,0.17464,0.17535,3980598.7
1609542000000,0.17532,0.17588,0.1751,0.17532,3080897.1
1609543800000,0.17528,0.17555,0.17457,0.17509,4622635.6
1609545600000,0.17505,0.17572,0.17028,0.17117,15373874.4
1609547400000,0.1712,0.17293,0.17075,0.17171,9176088.3
1609549200000,0.17174,0.17227,0.17016,0.17093,11093544.9
1609551000000,0.17095,0.17423,0.17095,0.17358,12709437.2
1609552800000,0.17362,0.17435,0.17323,0.17407,3286029.8
1609554600000,0.17415,0.17474,0.17358,0.17428,4165659.2
1609556400000,0.17426,0.17618,0.17412,0.1757,6854425.6
1609558200000,0.17569,0.17573,0.17494,0.17501,3111517.4
